Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000         -27.3301     -27.4335       0.1034   100.0
0.0020         -27.3386     -27.4439       0.1053   101.8
0.0040         -27.3443     -27.4510       0.1067   103.2
0.0060         -27.3480     -27.4557       0.1077   104.1
0.0080         -27.3502     -27.4585       0.1083   104.7
0.0100         -27.3514     -27.4599       0.1085   104.9
0.0120         -27.3519     -27.4602       0.1083   104.7
0.0140         -27.3518     -27.4595       0.1078   104.2
0.0160         -27.3512     -27.4581       0.1069   103.4
0.0180         -27.3541     -27.4599       0.1057   102.2
0.0200         -27.3602     -27.4645       0.1044   100.9
0.0220         -27.3603     -27.4631       0.1028    99.4
0.0240         -27.3588     -27.4597       0.1009    97.6
0.0260         -27.3586     -27.4575       0.0989    95.7
0.0280         -27.3568     -27.4536       0.0968    93.6
0.0300         -27.3555     -27.4501       0.0945    91.4
0.0320         -27.3537     -27.4458       0.0921    89.1
0.0340         -27.3517     -27.4414       0.0897    86.7
0.0360         -27.3466     -27.4338       0.0872    84.3
0.0380         -27.3446     -27.4293       0.0847    81.9
0.0400         -27.3426     -27.4247       0.0822    79.4
0.0420         -27.3389     -27.4186       0.0797    77.1
0.0440         -27.3368     -27.4141       0.0773    74.7
0.0460         -27.3346     -27.4096       0.0749    72.5
0.0480         -27.3325     -27.4052       0.0727    70.3
0.0500         -27.3303     -27.4009       0.0706    68.2
0.0520         -27.3281     -27.3967       0.0686    66.3
0.0540         -27.3259     -27.3927       0.0667    64.5
0.0560         -27.3268     -27.3919       0.0651    63.0
0.0580         -27.3216     -27.3853       0.0637    61.6
0.0600         -27.3194     -27.3819       0.0625    60.5
0.0620         -27.3171     -27.3787       0.0616    59.6
0.0640         -27.3148     -27.3757       0.0609    58.9
0.0660         -27.3137     -27.3741       0.0604    58.5
0.0680         -27.3113     -27.3716       0.0603    58.3
0.0700         -27.3090     -27.3694       0.0604    58.4
0.0720         -27.3095     -27.3702       0.0607    58.7
0.0740         -27.3072     -27.3685       0.0613    59.3
0.0760         -27.3048     -27.3670       0.0622    60.2
0.0780         -27.3025     -27.3658       0.0634    61.3
0.0800         -27.3001     -27.3649       0.0648    62.6
0.0820         -27.2978     -27.3642       0.0664    64.2
0.0840         -27.2954     -27.3637       0.0682    66.0
0.0860         -27.2923     -27.3627       0.0703    68.0
0.0880         -27.2900     -27.3626       0.0726    70.2
0.0900         -27.2850     -27.3600       0.0750    72.5
0.0920         -27.2827     -27.3603       0.0776    75.0
0.0940         -27.2804     -27.3607       0.0802    77.6
0.0960         -27.2782     -27.3612       0.0830    80.3
0.0980         -27.2759     -27.3618       0.0858    83.0
0.1000         -27.2737     -27.3624       0.0887    85.7
0.1020         -27.2716     -27.3631       0.0915    88.5
0.1040         -27.2694     -27.3637       0.0943    91.2
0.1060         -27.2643     -27.3614       0.0971    93.9
0.1080         -27.2622     -27.3620       0.0998    96.5
0.1100         -27.2602     -27.3626       0.1024    99.0
0.1120         -27.2581     -27.3630       0.1049   101.4
0.1140         -27.2561     -27.3633       0.1072   103.7
0.1160         -27.2541     -27.3635       0.1094   105.8
0.1180         -27.2522     -27.3635       0.1113   107.7
0.1200         -27.2503     -27.3634       0.1131   109.4
0.1220         -27.2484     -27.3631       0.1147   110.9
0.1240         -27.2465     -27.3625       0.1160   112.2
0.1260         -27.2446     -27.3617       0.1171   113.3
0.1280         -27.2427     -27.3608       0.1180   114.1
0.1300         -27.2409     -27.3595       0.1186   114.7
0.1320         -27.2391     -27.3580       0.1190   115.1
0.1340         -27.2372     -27.3563       0.1191   115.1
0.1360         -27.2354     -27.3544       0.1189   115.0
0.1380         -27.2336     -27.3521       0.1185   114.6
0.1400         -27.2318     -27.3497       0.1179   114.0
0.1420         -27.2300     -27.3470       0.1170   113.1
0.1440         -27.2281     -27.3440       0.1159   112.1
0.1460         -27.2263     -27.3409       0.1146   110.8
0.1480         -27.2244     -27.3375       0.1131   109.3
0.1500         -27.2226     -27.3340       0.1114   107.7
0.1520         -27.2207     -27.3302       0.1096   105.9
0.1540         -27.2188     -27.3263       0.1076   104.0
0.1560         -27.2168     -27.3223       0.1055   102.0
0.1580         -27.2148     -27.3181       0.1033    99.9
0.1600         -27.2128     -27.3138       0.1010    97.7
0.1620         -27.2083     -27.3070       0.0987    95.4
0.1640         -27.2062     -27.3026       0.0964    93.2
0.1660         -27.1983     -27.2923       0.0940    90.9
0.1680         -27.1962     -27.2878       0.0916    88.6
0.1700         -27.1941     -27.2833       0.0892    86.3
0.1720         -27.1919     -27.2789       0.0869    84.1
0.1740         -27.1898     -27.2745       0.0847    81.9
0.1760         -27.1876     -27.2702       0.0826    79.9
0.1780         -27.1854     -27.2660       0.0806    78.0
0.1800         -27.1832     -27.2620       0.0788    76.2
0.1820         -27.1810     -27.2581       0.0771    74.6
0.1840         -27.1788     -27.2545       0.0756    73.2
0.1860         -27.1766     -27.2510       0.0744    71.9
0.1880         -27.1744     -27.2477       0.0733    70.9
0.1900         -27.1723     -27.2447       0.0724    70.1
0.1920         -27.1701     -27.2419       0.0718    69.5
0.1940         -27.1680     -27.2395       0.0715    69.1
0.1960         -27.1659     -27.2373       0.0714    69.0
0.1980         -27.1638     -27.2354       0.0716    69.2
0.2000         -27.1641     -27.2361       0.0720    69.7
