Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000         -27.3301     -27.4335       0.1034   100.0
0.0020         -27.3281     -27.4333       0.1053   101.8
0.0040         -27.3260     -27.4327       0.1067   103.1
0.0060         -27.3240     -27.4316       0.1076   104.0
0.0080         -27.3220     -27.4300       0.1081   104.5
0.0100         -27.3199     -27.4280       0.1081   104.5
0.0120         -27.3179     -27.4256       0.1077   104.1
0.0140         -27.3159     -27.4228       0.1069   103.4
0.0160         -27.3138     -27.4195       0.1057   102.2
0.0180         -27.3118     -27.4159       0.1041   100.7
0.0200         -27.3097     -27.4119       0.1022    98.8
0.0220         -27.3077     -27.4076       0.1000    96.7
0.0240         -27.3055     -27.4030       0.0975    94.2
0.0260         -27.3034     -27.3982       0.0947    91.6
0.0280         -27.3013     -27.3931       0.0918    88.8
0.0300         -27.2991     -27.3879       0.0888    85.9
0.0320         -27.3013     -27.3870       0.0857    82.8
0.0340         -27.2991     -27.3816       0.0825    79.8
0.0360         -27.3012     -27.3806       0.0794    76.8
0.0380         -27.2989     -27.3752       0.0764    73.8
0.0400         -27.3032     -27.3767       0.0735    71.0
0.0420         -27.3009     -27.3716       0.0707    68.4
0.0440         -27.2985     -27.3667       0.0682    65.9
0.0460         -27.2960     -27.3619       0.0659    63.7
0.0480         -27.2936     -27.3574       0.0638    61.7
0.0500         -27.2911     -27.3532       0.0621    60.1
0.0520         -27.2912     -27.3519       0.0608    58.8
0.0540         -27.2887     -27.3485       0.0598    57.8
0.0560         -27.2862     -27.3454       0.0593    57.3
0.0580         -27.2836     -27.3428       0.0591    57.2
0.0600         -27.2811     -27.3406       0.0595    57.5
0.0620         -27.2786     -27.3388       0.0602    58.2
0.0640         -27.2790     -27.3404       0.0614    59.4
0.0660         -27.2747     -27.3378       0.0631    61.1
0.0680         -27.2722     -27.3375       0.0653    63.1
0.0700         -27.2698     -27.3375       0.0677    65.5
0.0720         -27.2673     -27.3379       0.0706    68.2
0.0740         -27.2649     -27.3386       0.0737    71.3
0.0760         -27.2626     -27.3397       0.0771    74.6
0.0780         -27.2602     -27.3409       0.0807    78.0
0.0800         -27.2580     -27.3424       0.0844    81.7
0.0820         -27.2557     -27.3440       0.0883    85.4
0.0840         -27.2535     -27.3457       0.0922    89.2
0.0860         -27.2513     -27.3474       0.0961    92.9
0.0880         -27.2533     -27.3532       0.1000    96.7
0.0900         -27.2512     -27.3549       0.1037   100.3
0.0920         -27.2491     -27.3564       0.1073   103.7
0.0940         -27.2471     -27.3577       0.1106   107.0
0.0960         -27.2451     -27.3589       0.1138   110.0
0.0980         -27.2416     -27.3583       0.1166   112.8
0.1000         -27.2397     -27.3589       0.1192   115.3
0.1020         -27.2378     -27.3592       0.1214   117.4
0.1040         -27.2359     -27.3592       0.1233   119.2
0.1060         -27.2340     -27.3588       0.1247   120.6
0.1080         -27.2322     -27.3579       0.1258   121.6
0.1100         -27.2303     -27.3567       0.1263   122.2
0.1120         -27.2285     -27.3550       0.1265   122.3
0.1140         -27.2266     -27.3528       0.1262   122.0
0.1160         -27.2248     -27.3502       0.1254   121.3
0.1180         -27.2230     -27.3471       0.1242   120.1
0.1200         -27.2211     -27.3436       0.1226   118.5
0.1220         -27.2192     -27.3397       0.1205   116.5
0.1240         -27.2173     -27.3354       0.1181   114.2
0.1260         -27.2177     -27.3330       0.1153   111.5
0.1280         -27.2157     -27.3279       0.1122   108.5
0.1300         -27.2138     -27.3226       0.1088   105.2
0.1320         -27.2059     -27.3110       0.1051   101.6
0.1340         -27.2039     -27.3050       0.1012    97.8
0.1360         -27.2022     -27.2993       0.0970    93.8
0.1380         -27.2001     -27.2929       0.0928    89.7
0.1400         -27.1979     -27.2864       0.0885    85.5
0.1420         -27.1957     -27.2798       0.0841    81.3
0.1440         -27.1934     -27.2731       0.0796    77.0
0.1460         -27.1911     -27.2664       0.0753    72.8
0.1480         -27.1888     -27.2598       0.0710    68.6
0.1500         -27.1804     -27.2471       0.0668    64.6
0.1520         -27.1779     -27.2407       0.0627    60.7
0.1540         -27.1754     -27.2344       0.0589    57.0
0.1560         -27.1729     -27.2283       0.0554    53.6
0.1580         -27.1704     -27.2225       0.0522    50.4
0.1600         -27.1678     -27.2171       0.0493    47.7
0.1620         -27.1652     -27.2121       0.0469    45.4
0.1640         -27.1625     -27.2075       0.0450    43.5
0.1660         -27.1599     -27.2034       0.0436    42.1
0.1680         -27.1572     -27.1999       0.0427    41.3
0.1700         -27.1545     -27.1971       0.0425    41.1
0.1720         -27.1524     -27.1954       0.0430    41.6
0.1740         -27.1489     -27.1930       0.0442    42.7
0.1760         -27.1462     -27.1923       0.0461    44.6
0.1780         -27.1436     -27.1924       0.0489    47.2
0.1800         -27.1409     -27.1934       0.0524    50.7
0.1820         -27.1384     -27.1951       0.0568    54.9
0.1840         -27.1358     -27.1977       0.0619    59.9
0.1860         -27.1334     -27.2011       0.0678    65.5
0.1880         -27.1309     -27.2053       0.0744    71.9
0.1900         -27.1286     -27.2102       0.0816    78.9
0.1920         -27.1263     -27.2156       0.0893    86.4
0.1940         -27.1241     -27.2217       0.0976    94.4
0.1960         -27.1220     -27.2281       0.1062   102.7
0.1980         -27.1199     -27.2350       0.1150   111.2
0.2000         -27.1180     -27.2420       0.1240   119.9
